x,y,z,study_id,space
48.0,-38.0,-24.0,pain_01,MNI
38.0,46.0,6.0,pain_01,MNI
-36.0,-68.0,-40.0,pain_01,MNI
-60.0,-52.0,-10.0,pain_01,MNI
-36.0,2.0,-16.0,pain_02,MNI
10.0,-62.0,-10.0,pain_02,MNI
-58.0,10.0,8.0,pain_03,MNI
18.0,-102.0,-4.0,pain_03,MNI
-24.0,-68.0,-28.0,pain_03,MNI
8.0,2.0,60.0,pain_03,MNI
54.0,-28.0,18.0,pain_04,MNI
52.0,4.0,-2.0,pain_04,MNI
32.0,-98.0,-14.0,pain_04,MNI
8.0,4.0,58.0,pain_04,MNI
-36.0,-90.0,-14.0,pain_04,MNI
-40.0,4.0,-14.0,pain_04,MNI
40.0,10.0,-8.0,pain_05,MNI
-20.0,-58.0,-44.0,pain_05,MNI
-6.0,20.0,40.0,pain_05,MNI
-10.0,-28.0,2.0,pain_06,MNI
-10.0,-92.0,2.0,pain_07,MNI
8.0,-30.0,82.0,pain_07,MNI
64.0,-38.0,22.0,pain_08,MNI
4.0,-26.0,24.0,pain_08,MNI
36.0,44.0,24.0,pain_08,MNI
20.0,-44.0,62.0,pain_08,MNI
2.0,-86.0,-40.0,pain_08,MNI
60.0,-60.0,-16.0,pain_09,MNI
8.0,-26.0,18.0,pain_09,MNI
36.0,44.0,34.0,pain_09,MNI
14.0,-76.0,-42.0,pain_09,MNI
-28.0,-56.0,-46.0,pain_09,MNI
68.0,-36.0,36.0,pain_10,MNI
46.0,-2.0,-10.0,pain_10,MNI
-38.0,-54.0,-40.0,pain_10,MNI
-4.0,-18.0,0.0,pain_10,MNI
22.0,-40.0,38.0,pain_10,MNI
8.0,-22.0,8.0,pain_11,MNI
-36.0,14.0,2.0,pain_12,MNI
4.0,-70.0,34.0,pain_12,MNI
-34.0,46.0,30.0,pain_12,MNI
38.0,16.0,-6.0,pain_13,MNI
-64.0,-20.0,20.0,pain_13,MNI
32.0,22.0,-2.0,pain_14,MNI
28.0,-56.0,-66.0,pain_14,MNI
-62.0,-22.0,18.0,pain_15,MNI
34.0,18.0,-12.0,pain_16,MNI
30.0,-54.0,-42.0,pain_16,MNI
-32.0,14.0,-2.0,pain_16,MNI
-2.0,-54.0,56.0,pain_16,MNI
-60.0,-62.0,4.0,pain_16,MNI
-60.0,-28.0,20.0,pain_17,MNI
-2.0,-58.0,-18.0,pain_17,MNI
-42.0,-60.0,-36.0,pain_17,MNI
-48.0,-70.0,-4.0,pain_17,MNI
58.0,-30.0,18.0,pain_18,MNI
-56.0,-32.0,20.0,pain_18,MNI
40.0,12.0,-6.0,pain_19,MNI
40.0,68.0,-6.0,pain_19,MNI
-24.0,-84.0,-26.0,pain_19,MNI
-2.0,0.0,48.0,pain_19,MNI
-42.0,58.0,0.0,pain_19,MNI
40.0,6.0,-8.0,pain_20,MNI
2.0,-4.0,64.0,pain_20,MNI
40.0,-72.0,-20.0,pain_21,MNI
4.0,12.0,36.0,pain_21,MNI
-34.0,14.0,2.0,pain_21,MNI
